date,price
2015-11-17,2245
2015-11-18,2471
2015-11-19,2798
2015-11-20,3169
2015-11-21,710
2015-11-22,1719
2015-11-23,2485
2015-11-24,2973
2015-11-25,2210
2015-11-26,2741
2015-11-27,1860
2015-11-28,2935
2015-11-29,2927
2015-11-30,2650
2015-12-01,2967
2015-12-02,2438
2015-12-03,2763
2015-12-04,3327
2015-12-05,2770
2015-12-06,2920
2015-12-07,2727
2015-12-08,2941
2015-12-09,3213
2015-12-10,3110
2015-12-11,3146
2015-12-12,2242
2015-12-13,1819
2015-12-14,2324
2015-12-15,2749
2015-12-16,2503
2015-12-17,3262
2015-12-18,3450
2015-12-19,2843
2015-12-20,2882
2015-12-21,1490
2015-12-22,2150
2015-12-23,1844
2015-12-24,3371
2015-12-25,3743
2015-12-26,2430
2015-12-27,2980
2015-12-28,290
2015-12-29,1585
2015-12-30,1687
2015-12-31,2651
2016-01-01,2779
2016-01-02,2664
2016-01-03,2654
2016-01-04,2620
2016-01-05,2840
2016-01-06,2753
2016-01-07,2830
2016-01-08,2155
2016-01-09,1739
2016-01-10,2660
2016-01-11,2445
2016-01-12,2044
2016-01-13,2248
2016-01-14,2915
2016-01-15,2454
2016-01-16,2721
2016-01-17,2881
2016-01-18,2725
2016-01-19,3385
2016-01-20,2810
2016-01-21,3074
2016-01-22,2606
2016-01-23,2826
2016-01-24,2617
2016-01-25,2635
2016-01-26,2591
2016-01-27,3068
2016-01-28,2856
2016-01-29,3450
2016-01-30,2738
2016-01-31,2313
2016-02-01,2976
2016-02-02,1532
2016-02-03,2435
2016-02-04,3201
2016-02-05,2212
2016-02-06,2835
2016-02-07,2878
2016-02-08,2573
2016-02-09,2558
2016-02-10,3019
2016-02-11,3204
2016-02-12,3423
2016-02-13,3375
2016-02-14,1620
2016-02-15,1938
2016-02-16,2748
2016-02-17,3216
2016-02-18,3003
2016-02-19,3476
2016-02-20,3029
2016-02-21,2759
2016-02-22,3253
2016-02-23,3493
2016-02-24,1527
2016-02-25,2951
2016-02-26,3253
2016-02-27,3174
2016-02-28,2843
2016-02-29,3093
2016-03-01,1806
2016-03-02,3006
2016-03-03,2600
2016-03-04,3418
2016-03-05,2718
2016-03-06,2985
2016-03-07,3239
2016-03-08,3390
2016-03-09,2742
2016-03-10,3301
2016-03-11,3423
2016-03-12,3191
2016-03-13,1916
2016-03-14,3142
2016-03-15,3173
2016-03-16,3397
2016-03-17,3530
2016-03-18,3703
2016-03-19,3274
2016-03-20,3245
2016-03-21,3468
2016-03-22,3287
2016-03-23,2923
2016-03-24,2075
2016-03-25,3020
2016-03-26,3674
2016-03-27,3514
2016-03-28,3787
2016-03-29,3685
2016-03-30,3134
2016-03-31,3156
2016-04-01,2451
2016-04-02,3002
2016-04-03,3660
2016-04-04,3038
2016-04-05,3646
2016-04-06,2162
2016-04-07,3121
2016-04-08,2482
2016-04-09,3506
2016-04-10,2541
2016-04-11,3470
2016-04-12,3514
2016-04-13,3195
2016-04-14,3283
2016-04-15,4133
2016-04-16,3906
2016-04-17,3460
2016-04-18,2495
2016-04-19,2258
2016-04-20,2602
2016-04-21,2813
2016-04-22,3055
2016-04-23,3939
2016-04-24,3465
2016-04-25,3497
2016-04-26,2936
2016-04-27,2873
2016-04-28,3107
2016-04-29,3596
2016-04-30,2289
2016-05-01,3019
2016-05-02,3505
2016-05-03,3431
2016-05-04,3226
2016-05-05,3650
2016-05-06,4120
2016-05-07,3333
2016-05-08,3723
2016-05-09,2643
2016-05-10,2474
2016-05-11,3398
2016-05-12,3087
2016-05-13,3463
2016-05-14,3373
2016-05-15,3360
2016-05-16,3437
2016-05-17,3196
2016-05-18,3677
2016-05-19,3788
2016-05-20,3494
2016-05-21,3495
2016-05-22,3348
2016-05-23,3397
2016-05-24,3316
2016-05-25,2992
2016-05-26,3480
2016-05-27,3279
2016-05-28,3351
2016-05-29,3613
2016-05-30,3508
2016-05-31,2915
2016-06-01,2855
2016-06-02,3388
2016-06-03,3357
2016-06-04,2596
2016-06-05,3264
2016-06-06,3277
2016-06-07,3113
2016-06-08,3241
2016-06-09,2617
2016-06-10,3913
2016-06-11,3495
2016-06-12,3029
2016-06-13,3118
2016-06-14,2933
2016-06-15,3456
2016-06-16,3286
2016-06-17,3883
2016-06-18,3211
2016-06-19,3361
2016-06-20,3485
2016-06-21,3625
2016-06-22,2005
2016-06-23,2495
2016-06-24,2869
2016-06-25,3501
2016-06-26,3256
2016-06-27,2545
2016-06-28,2402
2016-06-29,2712
2016-06-30,2596
2016-07-01,2776
2016-07-02,3171
2016-07-03,3419
2016-07-04,3435
2016-07-05,2943
2016-07-06,2814
2016-07-07,2744
2016-07-08,3209
2016-07-09,3114
2016-07-10,3167
2016-07-11,3159
2016-07-12,2959
2016-07-13,2655
2016-07-14,3197
2016-07-15,2912
2016-07-16,3101
2016-07-17,2740
2016-07-18,2922
2016-07-19,2815
2016-07-20,2965
2016-07-21,2816
2016-07-22,3451
2016-07-23,2715
2016-07-24,2736
2016-07-25,3053
2016-07-26,3032
2016-07-27,2946
2016-07-28,2790
2016-07-29,2860
2016-07-30,3029
2016-07-31,3205
2016-08-01,2887
2016-08-02,2827
2016-08-03,3028
2016-08-04,2895
2016-08-05,2856
2016-08-06,3430
2016-08-07,3048
2016-08-08,2491
2016-08-09,2299
2016-08-10,2453
2016-08-11,2597
2016-08-12,1824
2016-08-13,3185
2016-08-14,2973
2016-08-15,2107
2016-08-16,2514
2016-08-17,2436
2016-08-18,2402
2016-08-19,2537
2016-08-20,2705
2016-08-21,3067
2016-08-22,2612
2016-08-23,2582
2016-08-24,2249
2016-08-25,2421
2016-08-26,2428
2016-08-27,2744
2016-08-28,2990
2016-08-29,2295
2016-08-30,2139
2016-08-31,2545
2016-09-01,2259
2016-09-02,2569
2016-09-03,2935
2016-09-04,2887
2016-09-05,2927
2016-09-06,3567
2016-09-07,3093
2016-09-08,3003
2016-09-09,3344
2016-09-10,2704
2016-09-11,3011
2016-09-12,3407
2016-09-13,3602
2016-09-14,3200
2016-09-15,3544
2016-09-16,3379
2016-09-17,2774
2016-09-18,2763
2016-09-19,3399
2016-09-20,3347
2016-09-21,2334
2016-09-22,3291
2016-09-23,3108
2016-09-24,2917
2016-09-25,2987
2016-09-26,3304
2016-09-27,3297
2016-09-28,2412
2016-09-29,2639
2016-09-30,2701
2016-10-01,2310
2016-10-02,2872
2016-10-03,2876
2016-10-04,2857
2016-10-05,3063
2016-10-06,2019
2016-10-07,3261
2016-10-08,2993
2016-10-09,3036
2016-10-10,2326
2016-10-11,3297
2016-10-12,2114
2016-10-13,3370
2016-10-14,3496
2016-10-15,3063
2016-10-16,2514
2016-10-17,3274
2016-10-18,3351
2016-10-19,3180
2016-10-20,3106
2016-10-21,3298
2016-10-22,3456
2016-10-23,3124
2016-10-24,3302
2016-10-25,3290
2016-10-26,1833
2016-10-27,3197
2016-10-28,3551
2016-10-29,2979
2016-10-30,2853
2016-10-31,3331
2016-11-01,3364
2016-11-02,2320
2016-11-03,3085
2016-11-04,3016
2016-11-05,3310
2016-11-06,2991
2016-11-07,3375
2016-11-08,2892
2016-11-09,2955
2016-11-10,2930
2016-11-11,2758
2016-11-12,3140
2016-11-13,3215
2016-11-14,3244
2016-11-15,3277
2016-11-16,3402
2016-11-17,3420
2016-11-18,2799
2016-11-19,3215
2016-11-20,3286
2016-11-21,3160
2016-11-22,3025
2016-11-23,1868
2016-11-24,3939
2016-11-25,3066
2016-11-26,3401
2016-11-27,3308
2016-11-28,1842
2016-11-29,2886
2016-11-30,2793
2016-12-01,2766
2016-12-02,2995
2016-12-03,2888
2016-12-04,1353
2016-12-05,2601
2016-12-06,2832
2016-12-07,3136
2016-12-08,3168
2016-12-09,3254
2016-12-10,2237
2016-12-11,1049
2016-12-12,1785
2016-12-13,2268
2016-12-14,2526
2016-12-15,2832
2016-12-16,2108
2016-12-17,1509
2016-12-18,1650
2016-12-19,2020
2016-12-20,2177
2016-12-21,2363
2016-12-22,2602
2016-12-23,2653
2016-12-24,2697
2016-12-25,2732
2016-12-26,2760
2016-12-27,2448
2016-12-28,2353
2016-12-29,2418
2016-12-30,2631
2016-12-31,3245
2017-01-01,3159
2017-01-02,2044
2017-01-03,1808
2017-01-04,2407
2017-01-05,2417
2017-01-06,2628
2017-01-07,3028
2017-01-08,3060
2017-01-09,2378
2017-01-10,1562
2017-01-11,830
2017-01-12,170
2017-01-13,1715
2017-01-14,2489
2017-01-15,2219
2017-01-16,1221
2017-01-17,2119
2017-01-18,2201
2017-01-19,2265
2017-01-20,2313
2017-01-21,2704
2017-01-22,2404
2017-01-23,2227
2017-01-24,2475
2017-01-25,2073
2017-01-26,2495
2017-01-27,2400
2017-01-28,2313
2017-01-29,2380
2017-01-30,2719
2017-01-31,2214
2017-02-01,2627
2017-02-02,2805
2017-02-03,2704
2017-02-04,2834
2017-02-05,3271
2017-02-06,2779
2017-02-07,1982
2017-02-08,2425
2017-02-09,2868
